District,County,District Code,Latitude,Longitude,Postcodes,Active Postcodes,Households,Population
"Manchester","Greater Manchester",E08000003,53.461102,-2.23069,26168,14022,204957,503104
"Mansfield","Nottinghamshire",E07000174,53.1549,-1.18507,3263,2587,44898,104386
"Medway","Kent",E06000035,51.380901,0.538567,8053,5882,106249,264012
"Melton","Leicestershire",E07000133,52.787201,-0.875681,1839,1447,21478,50349
"Mendip","Somerset",E07000187,51.202999,-2.53276,5380,4346,46138,109234
"Merthyr Tydfil","",W06000024,51.7351,-3.36319,1960,1621,24270,58819
"Merton","Greater London",E09000024,51.411098,-0.196154,5726,3743,78788,199777
"Mid Devon","Devon",E07000042,50.870399,-3.51996,3892,3358,32784,77825
"Mid Suffolk","Suffolk",E07000203,52.222099,1.05609,4236,3851,40300,96718
"Mid Sussex","West Sussex",E07000228,51.024502,-0.097279,6183,4291,57408,139836
"Middlesbrough","North Yorkshire",E06000002,54.556,-1.22764,5371,3770,57206,138423
"Midlothian","",S12000019,55.8666,-3.10875,3288,2879,34938,83071
"Milton Keynes","Buckinghamshire",E06000042,52.039101,-0.751574,11448,7211,98584,248814
"Mole Valley","Surrey",E07000210,51.257,-0.328224,4521,3161,35811,85331
"Monmouthshire","",W06000021,51.716301,-2.81797,6114,3249,38214,91288
"Moray","",S12000020,57.613098,-3.18979,6549,3248,39977,93094
"Neath Port Talbot","",W06000012,51.66,-3.78618,4522,3657,60393,139813
"New Forest","Hampshire",E07000091,50.8372,-1.5582,10540,5509,76831,176453
"Newark and Sherwood","Nottinghamshire",E07000175,53.1045,-0.90057,3985,3438,48797,114887
"Newcastle upon Tyne","Tyne and Wear",E08000021,54.986698,-1.63202,9962,6584,117178,280225
"Newcastle-under-Lyme","Staffordshire",E07000195,53.025002,-2.25697,4062,3139,52635,124015
"Newham","Greater London",E09000025,51.531502,0.0313,6835,3994,101489,307967
"Newport","",W06000022,51.5882,-2.99109,10511,3526,61177,145745
"North Ayrshire","",S12000021,55.671101,-4.75319,4931,4146,62437,138010
"North Devon","Devon",E07000043,51.092999,-4.02292,4439,3632,40003,93666
"North Dorset","Dorset",E07000050,50.939201,-2.23606,3097,2559,28672,68581
"North East Derbyshire","Derbyshire",E07000038,53.249802,-1.41811,4024,2488,43088,99118
"North East Lincolnshire","Lincolnshire",E06000012,53.5616,-0.097259,5883,4381,69714,159629
"North Hertfordshire","Hertfordshire",E07000099,51.9687,-0.203505,5520,3833,53445,127207
"North Kesteven","Lincolnshire",E07000139,53.1007,-0.476477,3659,3186,46013,107851
"North Lanarkshire","",S12000044,55.855499,-3.99014,9557,7811,145930,337545
"North Lincolnshire","Lincolnshire",E06000013,53.585999,-0.607594,5827,4779,70687,167453
"North Norfolk","Norfolk",E07000147,52.853199,1.21087,5038,4430,46074,101561
"North Somerset","Somerset",E06000024,51.392899,-2.83199,10473,6199,88239,202592
"North Tyneside","Tyne and Wear",E08000022,55.0219,-1.50602,7024,4951,91275,200761
"North Warwickshire","Warwickshire",E07000218,52.552799,-1.62522,2289,1877,25771,61890
"North West Leicestershire","Leicestershire",E07000134,52.745899,-1.39982,4512,2405,39122,93455
"Northampton","Northamptonshire",E07000154,52.246101,-0.882763,7826,4459,88735,212086
"Northumberland","Northumberland",E06000057,55.175201,-1.80202,15579,12494,138521,316000
"Norwich","Norfolk",E07000148,52.632301,1.28445,4067,3306,60321,132513
"Nottingham","Nottinghamshire",E06000018,52.961201,-1.1688,10093,6600,126100,305606
"Nuneaton and Bedworth","Warwickshire",E07000219,52.506199,-1.47515,3221,2493,52704,125236
"Oadby and Wigston","Leicestershire",E07000135,52.587601,-1.10308,2106,1160,21361,56232
"Oldham","Greater Manchester",E08000004,53.543201,-2.10479,7708,5832,89704,224891
"Orkney Islands","",S12000023,58.992001,-3.03283,822,718,9698,21278
"Oxford","Oxfordshire",E07000178,51.747101,-1.23596,6421,3682,55374,151900
"Pembrokeshire","",W06000009,51.797901,-4.90267,5726,4948,53118,122426
"Pendle","Lancashire",E07000122,53.864498,-2.19388,4174,2871,37355,89472
"Perth and Kinross","",S12000024,56.4226,-3.50799,6781,5360,64628,146300
"Peterborough","Cambridgeshire",E06000031,52.587601,-0.268161,6949,4179,74045,183666
"Plymouth","Devon",E06000026,50.385899,-4.12312,8742,6221,109318,256411
"Poole","Dorset",E06000029,50.7328,-1.95819,5068,3457,63497,147583
"Portsmouth","Hampshire",E06000044,50.810001,-1.07695,6334,4442,85466,205034
"Powys","",W06000023,52.339699,-3.34684,6893,6055,58325,132919
"Preston","Lancashire",E07000123,53.772202,-2.7036,5772,3349,57601,140285
"Purbeck","Dorset",E07000051,50.673801,-2.07904,2021,1689,19588,45006
"Reading","Berkshire",E06000038,51.4547,-0.983792,8323,3844,62874,155699
"Redbridge","Greater London",E09000026,51.5793,0.066307,7589,4555,99121,278927
"Redcar and Cleveland","North Yorkshire",E06000003,54.5728,-1.06476,4985,3960,59611,135192
"Redditch","Worcestershire",E07000236,52.300598,-1.93518,2421,1656,34732,84210
"Reigate and Banstead","Surrey",E07000211,51.2505,-0.188971,5914,3899,55429,137860
"Renfrewshire","",S12000038,55.850201,-4.45702,6075,4561,80894,174889
"Rhondda Cynon Taf","",W06000016,51.616699,-3.40516,7074,5346,99657,234387
"Ribble Valley","Lancashire",E07000124,53.848999,-2.43779,2481,1839,24137,57321
"Richmond upon Thames","Greater London",E09000027,51.449001,-0.317028,7778,4441,79835,186984
"Richmondshire","North Yorkshire",E07000166,54.382599,-1.77933,2995,2524,20214,51990
"Rochdale","Greater Manchester",E08000005,53.6003,-2.17197,7847,5617,87543,211677
"Rochford","Essex",E07000075,51.5914,0.663872,2739,2033,33559,83269
"Rossendale","Lancashire",E07000125,53.697102,-2.25902,3076,2404,29053,67965
"Rother","East Sussex",E07000064,50.912601,0.520114,4075,3064,40933,90685
"Rotherham","South Yorkshire",E08000018,53.423199,-1.31062,9159,6309,108271,257212
"Rugby","Warwickshire",E07000220,52.375599,-1.28426,3268,2633,41873,100068
"Runnymede","Surrey",E07000212,51.399101,-0.524918,3785,2343,32685,80448
"Rushcliffe","Nottinghamshire",E07000176,52.910599,-1.07483,2989,2685,45833,111121
"Rushmoor","Hampshire",E07000092,51.272499,-0.760208,3353,2273,36345,93809
"Rutland","Rutland",E06000017,52.658901,-0.679298,1547,1235,15004,37380
"Ryedale","North Yorkshire",E07000167,54.180698,-0.869922,3846,2259,22522,51747
"Salford","Greater Manchester",E08000006,53.4972,-2.33637,11859,6342,103542,233888
"Sandwell","West Midlands",E08000028,52.511902,-2.0095,9317,6834,121416,307873
"Scarborough","North Yorkshire",E07000168,54.328098,-0.485418,4389,3466,49427,108774
"Scottish Borders","",S12000026,55.6022,-2.69726,5127,4455,52386,113571
"Sedgemoor","Somerset",E07000188,51.1796,-2.95715,4690,3861,48809,114620
"Sefton","Merseyside",E08000014,53.5392,-2.99894,9363,6640,117936,273816
"Selby","North Yorkshire",E07000169,53.793098,-1.12345,4051,2693,34547,83417
"Sevenoaks","Kent",E07000111,51.291901,0.174529,5207,3710,47045,114959
"Sheffield","South Yorkshire",E08000019,53.3848,-1.46707,18660,11630,229970,552744
"Shepway","Kent",E07000112,51.0676,1.09118,4595,3507,47396,108019
"Shetland Islands","",S12000027,60.2211,-1.19793,740,647,9915,23086
"Shropshire","Shropshire",E06000051,52.689602,-2.71869,14785,12297,129744,306334
"Slough","Berkshire",E06000039,51.5112,-0.592169,4790,2916,50741,140126
"Solihull","West Midlands",E08000029,52.424599,-1.77088,6314,4659,86112,206777
"South Ayrshire","",S12000028,55.4459,-4.64013,4403,3553,51192,112564
"South Bucks","Buckinghamshire",E07000006,51.562901,-0.587969,3451,2344,26492,66824
"South Cambridgeshire","Cambridgeshire",E07000012,52.1931,0.083915,7557,3768,59993,148837
"South Derbyshire","Derbyshire",E07000039,52.820801,-1.54406,3521,2237,38993,94625
"South Gloucestershire","Gloucestershire",E06000025,51.517601,-2.4997,12978,6801,107515,262714
"South Hams","Devon",E07000044,50.361198,-3.79612,4746,3969,36840,83078
"South Holland","Lincolnshire",E07000140,52.7901,-0.07713,3155,2524,37243,88233
"South Kesteven","Lincolnshire",E07000141,52.821602,-0.528619,4983,4011,57367,133841
"South Lakeland","Cumbria",E07000031,54.2892,-2.86757,5697,4688,46543,103642
"South Lanarkshire","",S12000029,55.754799,-4.04743,10327,8336,139102,313606
"South Norfolk","Norfolk",E07000149,52.5098,1.22849,5448,4452,52817,124029
"South Northamptonshire","Northamptonshire",E07000155,52.109001,-1.04417,3268,2448,34707,85143
"South Oxfordshire","Oxfordshire",E07000179,51.625702,-1.06749,8446,5047,54091,134238
"South Ribble","Lancashire",E07000126,53.7145,-2.70235,4056,2509,46088,108994
"South Somerset","Somerset",E07000189,50.966702,-2.70872,7223,5922,69489,161211
"South Staffordshire","Staffordshire",E07000196,52.610401,-2.15492,3363,2937,44453,108093
"South Tyneside","Tyne and Wear",E08000023,54.973701,-1.44882,4560,3612,67166,148126
"Southampton","Hampshire",E06000045,50.917599,-1.39849,14083,5835,98248,236858
"Southend-on-Sea","Essex",E06000033,51.5462,0.702809,5786,3670,74728,173767
"Southwark","Greater London",E09000028,51.483601,-0.078441,11938,7103,120437,288219
"Spelthorne","Surrey",E07000213,51.422798,-0.457902,3670,2500,39512,95596
"St Albans","Hertfordshire",E07000240,51.7659,-0.330147,6614,4497,56143,140683
"St Edmundsbury","Suffolk",E07000204,52.210899,0.656259,4289,3285,45811,111030
"St. Helens","Merseyside",E08000013,53.4529,-2.71838,6056,4752,75737,175302
"Stafford","Staffordshire",E07000197,52.8344,-2.13529,4748,3787,55688,130833
"Staffordshire Moorlands","Staffordshire",E07000198,53.067001,-2.04025,3476,2961,41758,97063
"Stevenage","Hertfordshire",E07000243,51.903702,-0.191435,2813,1916,34911,83999
"Stirling","",S12000030,56.133598,-4.04478,3650,2888,37492,90073
"Stockport","Greater Manchester",E08000007,53.3979,-2.15342,10135,6690,121974,283267
"Stockton-on-Tees","",E06000004,54.566898,-1.32099,6968,5307,79170,191641
"Stoke-on-Trent","Staffordshire",E06000021,53.0158,-2.16642,8665,6482,107558,248962
"Stratford-on-Avon","Warwickshire",E07000221,52.200298,-1.6489,6149,4446,51910,120461
"Stroud","Gloucestershire",E07000082,51.729801,-2.2681,5016,4012,47778,112757
"Suffolk Coastal","Suffolk",E07000205,52.1021,1.36647,6865,5299,53566,124307
"Sunderland","Tyne and Wear",E08000024,54.892799,-1.439,9248,7000,119757,275501
"Surrey Heath","Surrey",E07000214,51.333599,-0.714019,4006,2293,33539,86171
"Sutton","Greater London",E09000029,51.364201,-0.181918,5800,3883,78188,190203
"Swale","Kent",E07000113,51.354099,0.788595,4911,3851,55612,135898
"Swansea","",W06000011,51.641899,-3.97897,8377,5796,103491,239013
"Swindon","Wiltshire",E06000030,51.568199,-1.7812,8793,5113,88360,209166
"Tameside","Greater Manchester",E08000008,53.4739,-2.09147,8388,5948,94976,219370
"Tamworth","Staffordshire",E07000199,52.625801,-1.68061,2045,1449,31633,76867
"Tandridge","Surrey",E07000215,51.255699,-0.052166,3261,2299,33320,82948
"Taunton Deane","Somerset",E07000190,51.014099,-3.1348,4670,3572,46918,110207
"Teignbridge","Devon",E07000045,50.567799,-3.59399,5708,4525,53977,124162
"Telford and Wrekin","Shropshire",E06000020,52.690601,-2.46098,7257,5404,66593,166600
"Tendring","Essex",E07000076,51.847801,1.14844,5496,4429,62104,138049
"Test Valley","Hampshire",E07000093,51.096901,-1.49049,6095,3716,47691,116529
"Tewkesbury","Gloucestershire",E07000083,51.933399,-2.12122,3634,2739,35119,81946
"Thanet","Kent",E07000114,51.363201,1.38903,5074,3835,59513,134186
"Three Rivers","Hertfordshire",E07000102,51.646999,-0.446023,4347,2492,35151,87470
"Thurrock","Essex",E06000034,51.494801,0.339778,4708,3179,62357,157717
"Tonbridge and Malling","Kent",E07000115,51.259998,0.360057,5150,3733,48083,120668
"Torbay","Devon",E06000027,50.448101,-3.54578,5180,3768,59033,131001
"Torfaen","",W06000020,51.675999,-3.03613,4152,2515,38516,91051
"Torridge","Devon",E07000046,50.936798,-4.22542,3111,2683,27983,63852
"Tower Hamlets","Greater London",E09000030,51.5177,-0.0438,9720,5493,101221,254056
"Trafford","Greater Manchester",E08000009,53.424,-2.3339,10844,6530,94488,226596
"Tunbridge Wells","Kent",E07000116,51.130699,0.342802,5349,3744,47168,115028
